subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
000,1,0,0,1,4,1,505,left
000,2,1,2,2,1,1,476,left
000,3,2,1,1,2,1,421,left
000,4,2,1,2,2,1,414,left
000,5,0,0,2,5,2,378,right
000,6,2,1,1,3,1,403,left
000,7,1,2,2,2,1,505,left
000,8,1,2,1,1,2,460,right
000,9,1,1,1,1,1,257,left
000,10,2,1,1,2,1,360,left
000,11,1,1,2,1,1,462,left
000,12,0,0,1,1,1,491,left
000,13,1,2,1,5,2,382,right
000,14,1,1,1,2,1,441,left
000,15,2,2,1,4,1,517,left
000,16,0,0,1,1,1,411,left
000,17,0,0,2,2,2,482,right
000,18,2,2,1,1,1,524,left
000,19,1,2,1,3,1,385,left
000,20,2,2,2,1,1,572,left
000,21,0,0,1,3,2,443,right
000,22,1,1,1,3,1,357,left
000,23,0,0,2,2,1,497,left
000,24,1,2,2,4,2,429,right
000,25,0,0,2,5,2,373,right
000,26,0,0,1,5,1,430,left
000,27,1,1,2,3,1,359,left
000,28,1,1,2,1,1,428,left
000,29,0,0,1,3,1,443,left
000,30,0,0,2,4,2,438,right
000,31,2,2,2,4,2,376,right
000,32,1,2,1,3,1,370,left
000,33,1,2,1,3,1,385,left
000,34,1,2,2,5,2,402,right
000,35,2,2,1,1,1,375,left
000,36,2,1,2,2,1,369,left
000,37,2,1,2,5,2,394,right
000,38,2,2,2,2,1,332,left
000,39,1,2,1,4,2,388,right
000,40,0,0,2,2,1,335,left
000,41,2,1,1,3,1,627,left
000,42,2,1,2,4,2,331,right
000,43,1,1,1,3,1,365,left
000,44,1,2,1,2,1,387,left
000,45,1,1,1,5,2,404,right
000,46,2,2,1,5,1,491,left
000,47,2,2,2,3,1,531,left
000,48,0,0,2,4,1,404,left
000,49,2,1,2,2,1,435,left
000,50,0,0,2,1,1,428,left
000,51,1,2,1,1,1,428,left
000,52,2,1,2,4,2,453,right
000,53,1,2,2,1,1,539,left
000,54,2,1,1,1,1,397,left
000,55,2,2,2,2,1,496,left
000,56,1,1,1,3,1,452,left
000,57,2,1,1,5,2,545,right
000,58,1,2,1,5,1,477,left
000,59,2,2,2,4,2,484,right
000,60,1,2,2,3,1,461,left
000,61,0,0,2,5,2,385,right
000,62,2,1,2,5,2,409,right
000,63,2,1,1,1,1,495,left
000,64,1,1,1,1,1,443,left
000,65,2,1,2,4,2,428,right
000,66,2,1,2,1,1,382,left
000,67,1,2,2,5,2,336,right
000,68,1,2,2,3,1,355,left
000,69,0,0,1,3,1,385,left
000,70,0,0,1,4,1,377,left
000,71,0,0,2,3,2,817,right
000,72,1,2,2,4,1,437,left
000,73,2,2,1,5,2,425,right
000,74,1,2,1,5,2,466,right
000,75,1,2,2,3,1,401,left
000,76,0,0,1,1,1,439,left
000,77,0,0,2,3,1,457,left
000,78,1,2,2,4,1,511,left
000,79,2,2,1,3,1,525,left
000,80,2,1,1,1,1,349,left
000,81,2,1,2,3,2,427,right
000,82,2,1,2,1,1,372,left
000,83,0,0,2,1,1,396,left
000,84,2,1,2,3,1,361,left
000,85,2,2,2,3,1,385,left
000,86,2,1,2,5,2,290,right
000,87,1,2,2,2,1,438,left
000,88,2,2,1,5,2,466,right
000,89,1,1,1,5,1,439,left
000,90,2,2,1,3,1,451,left
000,91,1,1,1,4,2,383,right
000,92,2,2,2,2,1,376,left
000,93,1,2,2,5,2,362,right
000,94,1,1,2,2,1,314,left
000,95,1,1,1,4,2,657,right
000,96,0,0,2,1,1,613,left
000,97,2,2,2,1,1,626,left
000,98,2,1,1,4,2,624,right
000,99,1,1,2,3,1,382,left
000,100,2,2,1,1,1,377,left
000,101,2,1,1,4,2,434,right
000,102,2,2,1,3,1,388,left
000,103,1,2,1,4,1,855,left
000,104,0,0,2,4,2,408,right
000,105,2,1,1,5,2,703,right
000,106,1,2,1,4,1,490,left
000,107,1,1,1,2,1,453,left
000,108,0,0,1,4,2,554,right
000,109,2,1,1,5,2,494,right
000,110,2,2,2,5,2,688,right
000,111,1,1,2,4,2,666,right
000,112,1,1,2,2,1,495,left
000,113,2,1,1,2,1,683,left
000,114,2,1,2,1,1,723,left
000,115,1,1,1,2,1,746,left
000,116,1,1,1,1,1,436,left
000,117,1,1,2,3,2,870,right
000,118,2,2,2,3,1,403,left
000,119,2,2,2,4,2,497,right
000,120,0,0,2,3,2,701,right
000,121,1,2,2,1,1,433,left
000,122,1,1,2,4,2,458,right
000,123,2,2,1,4,1,496,left
000,124,2,2,2,5,2,514,right
000,125,0,0,1,2,1,680,left
000,126,0,0,1,2,1,751,left
000,127,0,0,1,5,2,450,right
000,128,1,1,2,5,2,470,right
000,129,2,1,1,4,2,470,right
000,130,1,1,2,2,1,701,left
000,131,2,1,1,3,1,616,left
000,132,1,1,2,4,2,445,right
000,133,2,2,1,4,1,353,left
000,134,1,1,2,1,1,583,left
000,135,2,2,1,2,1,760,left
000,136,1,2,1,2,1,468,left
000,137,2,2,2,1,1,668,left
000,138,0,0,1,5,2,483,right
000,139,0,0,1,2,1,443,left
000,140,2,2,1,2,1,454,left
000,141,1,2,1,1,1,636,left
000,142,1,1,1,5,2,436,right
000,143,1,1,2,5,2,590,right
000,144,1,1,1,4,1,458,left
000,145,2,2,2,5,2,529,right
000,146,1,1,2,5,2,520,right
000,147,1,2,2,2,1,1159,left
000,148,1,2,1,2,1,898,left
000,149,2,1,2,3,1,804,left
000,150,2,2,1,2,1,630,left
000,151,1,1,2,2,1,565,left
000,152,1,2,2,1,1,538,left
000,153,0,0,2,2,1,461,left
000,154,0,0,2,3,2,507,right
000,155,0,0,2,2,1,360,left
000,156,1,1,1,1,1,519,left
000,157,0,0,2,1,1,468,left
000,158,1,2,2,3,2,500,right
000,159,1,2,2,4,2,632,right
000,160,1,2,2,1,1,385,left
000,161,1,1,1,4,1,524,left
000,162,1,1,2,4,1,652,left
000,163,2,1,1,3,1,416,left
000,164,1,2,1,5,2,487,right
000,165,0,0,1,3,1,465,left
000,166,1,1,2,4,2,616,right
000,167,2,1,2,1,1,413,left
000,168,0,0,1,4,1,619,left
000,169,1,1,2,4,2,528,right
000,170,2,2,1,1,1,443,left
000,171,2,2,2,5,2,445,right
000,172,1,2,1,2,1,409,left
000,173,2,2,1,2,1,434,left
000,174,1,1,1,3,2,452,right
000,175,0,0,2,5,2,448,right
000,176,1,2,2,2,1,379,left
000,177,2,2,1,2,1,526,left
000,178,1,2,1,1,1,441,left
000,179,2,1,1,4,2,468,right
000,180,1,2,2,4,2,538,right
000,181,2,2,2,1,1,459,left
000,182,1,1,1,2,1,481,left
000,183,1,1,2,5,2,449,right
000,184,0,0,1,2,1,494,left
000,185,0,0,1,2,1,681,left
000,186,2,2,2,3,1,544,left
000,187,2,2,2,2,1,658,left
000,188,2,2,1,3,1,632,left
000,189,2,1,1,2,1,593,left
000,190,0,0,1,4,1,538,left
000,191,2,1,2,2,1,509,left
000,192,2,2,2,4,1,564,left
000,193,2,1,1,3,1,730,left
000,194,1,1,1,4,2,523,right
000,195,0,0,2,1,1,681,left
000,196,2,2,1,1,1,536,left
000,197,0,0,1,3,1,508,left
000,198,2,2,1,4,1,552,left
000,199,1,1,2,5,2,580,right
000,200,2,1,2,1,1,531,left
000,201,0,0,1,1,1,773,left
000,202,0,0,2,4,2,700,right
000,203,0,0,1,2,1,721,left
000,204,1,1,1,2,1,959,left
000,205,1,1,1,5,2,520,right
000,206,0,0,2,3,1,648,left
000,207,0,0,1,1,1,572,left
000,208,2,2,2,2,1,677,left
000,209,1,1,1,3,1,515,left
000,210,2,1,1,1,1,491,left
000,211,0,0,1,5,2,421,right
000,212,1,2,1,5,2,436,right
000,213,1,2,1,3,2,415,right
000,214,2,1,1,1,1,431,left
000,215,1,1,1,3,2,625,right
000,216,2,1,1,4,1,423,left
000,217,0,0,2,4,2,431,right
000,218,1,2,1,3,1,562,left
000,219,0,0,1,5,2,367,right
000,220,1,1,1,1,1,518,left
000,221,1,2,2,5,2,620,right
000,222,2,2,2,4,1,473,left
000,223,2,1,2,5,1,579,left
000,224,1,2,1,1,1,469,left
000,225,2,1,1,4,1,555,left
000,226,1,2,2,2,1,483,left
000,227,1,1,2,5,2,406,right
000,228,1,2,1,2,1,420,left
000,229,0,0,2,1,1,516,left
000,230,1,1,1,5,2,444,right
000,231,1,1,2,3,1,474,left
000,232,1,2,2,4,2,492,right
000,233,0,0,1,3,1,505,left
000,234,1,1,2,1,1,503,left
000,235,2,1,1,5,2,379,right
000,236,1,1,1,1,1,427,left
000,237,2,2,1,5,2,460,right
000,238,2,1,1,5,1,395,left
000,239,2,1,2,3,1,448,left
000,240,0,0,2,5,2,372,right
000,241,1,2,1,5,2,565,right
000,242,2,2,2,1,1,492,left
000,243,2,2,2,4,2,455,right
000,244,1,2,1,4,1,420,left
000,245,1,2,1,1,1,579,left
000,246,1,2,1,4,2,485,right
000,247,2,2,1,5,1,472,left
000,248,1,1,2,1,1,448,left
000,249,1,2,1,4,1,580,left
000,250,2,1,2,5,2,453,right
000,251,2,1,2,3,1,450,left
000,252,1,2,2,3,1,398,left
000,253,2,1,1,5,2,410,right
000,254,1,1,2,3,1,432,left
000,255,1,2,2,5,2,378,right
000,256,0,0,1,1,1,477,left
000,257,2,2,2,3,2,485,right
000,258,1,2,2,5,2,447,right
000,259,2,2,1,5,1,403,left
000,260,1,1,2,2,1,530,left
000,261,2,2,2,5,2,362,right
000,262,1,1,2,3,1,508,left
000,263,0,0,1,4,1,465,left
000,264,2,1,2,4,1,505,left
000,265,1,2,2,2,1,478,left
000,266,0,0,2,2,1,455,left
000,267,1,2,2,3,1,445,left
000,268,2,1,2,1,1,401,left
000,269,1,1,1,2,1,542,left
000,270,2,2,1,3,1,833,left
000,271,2,2,1,3,1,520,left
000,272,0,0,2,4,1,818,left
000,273,2,2,2,2,1,607,left
000,274,0,0,2,5,2,434,right
000,275,1,1,1,4,1,606,left
000,276,1,2,1,2,1,419,left
000,277,2,1,1,3,1,500,left
000,278,2,1,2,2,1,593,left
000,279,2,2,2,3,1,588,left
000,280,2,2,1,1,1,1045,left
000,281,2,1,1,1,1,380,left
000,282,2,1,1,2,1,552,left
000,283,1,1,2,1,1,532,left
000,284,1,1,2,2,1,471,left
000,285,2,2,2,1,1,495,left
000,286,2,2,2,5,2,491,right
000,287,2,1,2,5,1,422,left
000,288,2,1,2,3,2,416,right
000,289,2,1,2,2,1,351,left
000,290,1,1,1,5,2,613,right
000,291,2,2,1,4,1,364,left
000,292,2,2,1,4,1,442,left
000,293,0,0,2,3,1,557,left
000,294,1,2,2,1,1,612,left
000,295,2,1,2,4,2,489,right
000,296,2,2,1,2,1,387,left
000,297,1,2,1,3,1,391,left
000,298,0,0,1,5,2,452,right
000,299,2,1,1,2,1,393,left
000,300,2,1,2,4,2,444,right
000,301,0,0,2,3,2,543,right
000,302,1,1,1,2,1,522,left
000,303,0,0,2,3,1,609,left
000,304,2,1,1,5,2,471,right
000,305,2,2,2,1,1,609,left
000,306,2,2,1,4,1,557,left
000,307,1,2,2,1,1,556,left
000,308,2,1,2,1,1,482,left
000,309,0,0,1,5,2,412,right
000,310,1,2,1,3,1,652,left
000,311,0,0,2,5,2,608,right
000,312,1,2,1,3,1,518,left
000,313,1,2,1,4,1,582,left
000,314,0,0,1,3,1,512,left
000,315,1,1,1,4,2,573,right
000,316,2,2,2,4,2,501,right
000,317,1,2,1,1,1,984,left
000,318,1,1,1,4,1,559,left
000,319,0,0,1,4,1,443,left
000,320,1,1,1,3,1,582,left
000,321,1,1,2,3,1,553,left
000,322,1,2,1,1,1,664,left
000,323,1,1,2,4,2,459,right
000,324,1,2,1,5,1,522,left
000,325,2,2,2,5,2,491,right
000,326,2,1,1,1,1,648,left
000,327,1,1,1,5,1,546,left
000,328,2,2,1,3,2,590,right
000,329,0,0,2,4,1,505,left
000,330,1,2,1,5,2,543,right
000,331,2,2,1,2,1,515,left
000,332,2,1,1,4,1,571,left
000,333,1,2,1,4,1,542,left
000,334,1,1,2,3,1,650,left
000,335,1,2,2,2,1,495,left
000,336,1,1,1,2,2,493,right
000,337,2,2,2,4,1,467,left
000,338,1,1,2,2,1,452,left
000,339,2,1,2,4,2,698,right
000,340,2,2,1,3,1,616,left
000,341,2,2,2,5,2,559,right
000,342,1,1,1,1,1,454,left
000,343,2,2,1,2,1,503,left
000,344,2,1,2,4,2,551,right
000,345,2,2,2,2,1,495,left
000,346,1,2,2,2,1,566,left
000,347,1,2,2,5,1,573,left
000,348,0,0,2,2,1,527,left
000,349,0,0,2,2,1,474,left
000,350,1,2,2,1,1,374,left
000,351,1,2,1,2,1,546,left
000,352,1,1,2,1,1,518,left
000,353,0,0,1,5,2,430,right
000,354,2,2,1,1,1,458,left
000,355,2,2,2,2,1,512,left
000,356,2,1,2,2,1,391,left
000,357,1,2,2,5,2,435,right
000,358,1,2,2,4,1,447,left
000,359,2,1,1,2,2,595,right
000,360,2,2,2,4,1,440,left
000,361,0,0,2,4,1,365,left
000,362,1,1,2,2,1,382,left
000,363,2,1,1,2,1,448,left
000,364,2,2,1,5,2,390,right
000,365,2,1,1,1,1,331,left
000,366,2,1,1,2,2,560,right
000,367,1,1,1,1,1,319,left
000,368,2,1,2,5,2,432,right
000,369,0,0,1,4,1,571,left
000,370,1,1,2,5,2,449,right
000,371,2,2,1,3,1,437,left
000,372,1,1,2,5,2,439,right
000,373,1,1,2,3,1,403,left
000,374,1,2,1,2,1,481,left
000,375,0,0,2,3,1,682,left
000,376,2,1,2,3,1,434,left
000,377,0,0,2,4,2,501,right
000,378,1,2,2,3,2,529,right
000,379,2,1,1,3,1,522,left
000,380,1,1,1,2,1,370,left
000,381,0,0,2,5,2,402,right
000,382,2,1,2,3,1,360,left
000,383,2,1,1,1,1,400,left
000,384,2,2,2,5,2,383,right
000,385,0,0,1,4,1,547,left
000,386,2,1,2,1,1,455,left
000,387,0,0,2,1,1,438,left
000,388,0,0,2,2,2,457,right
000,389,1,2,1,4,2,424,right
000,390,0,0,1,5,2,387,right
000,391,0,0,1,2,1,384,left
000,392,1,1,2,4,2,509,right
000,393,1,1,1,3,1,453,left
000,394,1,1,2,4,2,883,right
000,395,2,1,1,4,1,676,left
000,396,2,1,1,3,1,428,left
000,397,1,1,2,2,1,440,left
000,398,1,1,2,5,2,405,right
000,399,2,1,2,2,1,349,left
000,400,0,0,1,3,2,739,right
000,401,2,1,2,4,1,548,left
000,402,2,2,2,2,1,431,left
000,403,2,2,1,4,1,497,left
000,404,1,1,1,5,2,391,right
000,405,2,1,2,5,2,403,right
000,406,2,2,1,4,1,425,left
000,407,0,0,2,5,2,428,right
000,408,1,2,2,3,1,501,left
000,409,0,0,1,1,1,501,left
000,410,1,2,2,1,1,632,left
000,411,1,1,1,3,1,553,left
000,412,2,2,1,1,1,520,left
000,413,1,1,2,1,1,569,left
000,414,1,2,2,3,1,482,left
000,415,1,2,2,2,1,450,left
000,416,2,1,2,5,2,465,right
000,417,0,0,1,2,1,488,left
000,418,2,2,2,3,1,483,left
000,419,0,0,1,1,1,740,left
000,420,0,0,1,1,1,527,left
000,421,1,2,2,4,2,513,right
000,422,1,2,1,2,1,463,left
000,423,1,1,1,5,2,421,right
000,424,2,2,2,1,1,559,left
000,425,2,1,1,5,2,700,right
000,426,0,0,1,2,1,695,left
000,427,1,1,1,1,2,1787,right
000,428,0,0,2,1,2,781,right
000,429,2,1,1,5,2,456,right
000,430,2,1,1,3,1,496,left
000,431,2,1,2,3,1,767,left
000,432,2,2,2,1,1,439,left
000,433,0,0,1,3,2,487,right
000,434,1,2,1,1,1,406,left
000,435,2,2,1,1,1,438,left
000,436,1,2,1,5,2,394,right
000,437,1,2,1,3,1,429,left
000,438,2,1,2,2,1,489,left
000,439,1,2,2,5,2,362,right
000,440,2,2,1,5,2,571,right
000,441,2,1,1,4,2,468,right
000,442,1,2,2,4,2,436,right
000,443,1,1,2,1,1,408,left
000,444,2,2,1,5,2,431,right
000,445,2,2,1,2,2,376,right
000,446,2,1,2,1,1,408,left
000,447,0,0,2,1,1,432,left
000,448,1,1,1,4,2,452,right
000,449,2,2,2,3,1,416,left
000,450,2,2,2,3,1,402,left
000,451,1,2,1,2,1,790,left
000,452,2,1,1,2,1,504,left
000,453,1,1,2,5,2,471,right
000,454,1,2,2,1,1,510,left
000,455,2,1,1,3,1,341,left
000,456,2,1,1,5,2,475,right
000,457,2,1,2,4,1,458,left
000,458,2,1,2,1,1,682,left
000,459,1,2,1,1,1,500,left
000,460,0,0,1,3,2,391,right
000,461,0,0,2,1,1,516,left
000,462,1,2,1,3,1,595,left
000,463,1,2,2,2,2,480,right
